Siemens/DI	Parametres	V/Zone	V/Adresse	V/libelle	V/parentlibelle	V/modbusadresse
DI_ZD_11_A499	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_11	11	13	_DM_CRECHE_CIRCULATION_ACCUEIL_BEBE	_DM_NIVEAU_RDC_ZDM_11	499
DI_ZD_11_A498	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_11	11	12	_DM_CRECHE_CIRCULATION_BUANDERIE	_DM_NIVEAU_RDC_ZDM_11	498
DI_ZD_11_A497	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_11	11	11	_DM_CRECHE_SAS_ENTREE	_DM_NIVEAU_RDC_ZDM_11	497
DI_ZD_6_A444	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_6	6	9	_CRECHE_VESTIAIRES_MOYEN	_CRECHE_ZDA_6_	444
DI_ZD_22_A493	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_22	22	24	_CRECHE_CIRCUL__SORTIE_COUR	_ZDA_22_CIRCULATION_CRECHE_ZF_CRECHE	493
DI_ZD_6_A451	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_6	6	22	_CRECHE_BUREAU_EDUCATEUR	_CRECHE_ZDA_6_	451
DI_ZD_6_A450	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_6	6	21	_CRECHE_BUR_REGISSEUR_ADJOINT	_CRECHE_ZDA_6_	450
DI_ZD_6_A449	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_6	6	20	_CRECHE_BUREAU_DIRECTEUR	_CRECHE_ZDA_6_	449
DI_ZD_6_A446	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_6	6	11	_CRECHE_JEUX_MOYENS	_CRECHE_ZDA_6_	446
DI_ZD_8_A473	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_8	8	4	_SALLE_OUEST	_CAFETERIA_ZDA_8	473
DI_ZD_8_A472	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_8	8	3	_SALLE_SUD	_CAFETERIA_ZDA_8	472
DI_ZD_6_A448	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_6	6	13	_CRECHE_DORTOIR_MOYENS_REPAS	_CRECHE_ZDA_6_	448
DI_ZD_6_A447	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_6	6	12	_CRECHE_REPAS_MOYENS__JEUX	_CRECHE_ZDA_6_	447
