Esser/DI	Parameters	V/Numero	V/Panel	V/ZoneNum	V/Description	V/adress_MB
DI_ZD2308_A5	/Esser/DI/EDP/Zone_2308	5	3	2308	4414- RDC ACCUEIL HALL	415
DI_ZD2308_A7	/Esser/DI/EDP/Zone_2308	7	3	2308	4414-RDC SAS ENTRE PL EST	416
DI_ZD2308_A8	/Esser/DI/EDP/Zone_2308	8	3	2308	4414-RDC SAS ENTRE PL EST	417
DI_ZD2308_A9	/Esser/DI/EDP/Zone_2308	9	3	2308	4414-RDC SAS ENTRE PL EST	418
DI_ZD2308_A1	/Esser/DI/EDP/Zone_2308	1	3	2308	4414-RDC POSTE HT	419
DI_ZD2308_A2	/Esser/DI/EDP/Zone_2308	2	3	2308	4414-RDC POSTE HT	420
DI_ZD2308_A10	/Esser/DI/EDP/Zone_2308	10	3	2308	4414- RDC L. MAINT. 198	421
DI_ZD2308_A11	/Esser/DI/EDP/Zone_2308	11	3	2308	4414- RDC L. REP ALAR 204	422
DI_ZD2308_A3	/Esser/DI/EDP/Zone_2308	3	3	2308	4414-RDC L.TECH NORD/OUES	423
DI_ZD2308_A4	/Esser/DI/EDP/Zone_2308	4	3	2308	4414-RDC LOCAL CO2	424
DI_ZD2308_A6	/Esser/DI/EDP/Zone_2308	6	3	2308	4414-RDC LOCA REPARTITEUR	425
DI_ZD2311_A1	/Esser/DI/EDP/Zone_2311	1	3	2311	4414-R+1 LOC INSTRUMENT	429
DI_ZD2311_A2	/Esser/DI/EDP/Zone_2311	2	3	2311	4414-R+1 LOC INSTRU SOL	430
DI_ZD2312_A2	/Esser/DI/EDP/Zone_2312	2	3	2312	4414-R+1 LOC INSTRU SOL	432
DI_ZD2312_A1	/Esser/DI/EDP/Zone_2312	1	3	2312	4414-R+1 LOC INSTRUMENT	433
DI_ZD2313_A1	/Esser/DI/EDP/Zone_2313	1	3	2313	4414-R+1 LOCA REPARTITEUR	435
DI_ZD2319_A1	/Esser/DI/EDP/Zone_2319	1	3	2319	4414 CARTE RELAIS	442
DI_ZD2320_A1	/Esser/DI/EDP/Zone_2320	1	3	2320	4414-OI 1 MEZZANINE	444
DI_ZD2321_A1	/Esser/DI/EDP/Zone_2321	1	3	2321	4414-OI 2  ATEL PRE OUEST	446
DI_ZD2322_A1	/Esser/DI/EDP/Zone_2322	1	3	2322	4414-OI 3 L.T NORD/OUEST	448
DI_ZD2323_A1	/Esser/DI/EDP/Zone_2323	1	3	2323	4414-RDC OI 4 LOCAL CO2	450
DI_ZD2324_A1	/Esser/DI/EDP/Zone_2324	1	3	2324	4414-RDC OI 5 LOCAL CO2	452
DI_ZD2325_A1	/Esser/DI/EDP/Zone_2325	1	3	2325	4414-RDC OI 6 LOCAL CO2	454
DI_ZD2326_A1	/Esser/DI/EDP/Zone_2326	1	3	2326	4414-OI DM LOCAL FUTS	456
DI_ZD2327_A1	/Esser/DI/EDP/Zone_2327	1	3	2327	4414-RDC OI LOC SPRINKLER	458
DI_ZD2328_A1	/Esser/DI/EDP/Zone_2328	1	3	2328	4414 1er ETAGE TGBT SUD	460
DI_ZD2329_A2	/Esser/DI/EDP/Zone_2329	2	3	2329	4414-R+1 LOCAL CABLE	462
DI_ZD2329_A1	/Esser/DI/EDP/Zone_2329	1	3	2329	4414 1er SALLE DE CONTROL	463
DI_ZD2330_A1	/Esser/DI/EDP/Zone_2330	1	3	2330	4414 RDC OI REP VESDA	465
DI_ZD7_A5	/Esser/DI/EDP/Zone_7	5	1	7	4203 RDC ATELIER BAT. SUD	124
DI_ZD7_A8	/Esser/DI/EDP/Zone_7	8	1	7	4203 RDC ATELIER BAT. SUD	125
DI_ZD7_A9	/Esser/DI/EDP/Zone_7	9	1	7	4203 RDC ATELIER BAT. SUD	126
DI_ZD7_A10	/Esser/DI/EDP/Zone_7	10	1	7	4203 RDC ATELIER BAT. SUD	127
DI_ZD7_A16	/Esser/DI/EDP/Zone_7	16	1	7	4203 RDC ATELIER BAT. SUD	128
DI_ZD7_A17	/Esser/DI/EDP/Zone_7	17	1	7	4203 RDC ATELIER BAT. SUD	129
DI_ZD7_A19	/Esser/DI/EDP/Zone_7	19	1	7	4203 RDC SORBONE SUD P017	130
